title,compound,datetime
"United Airlines plane loses tire during takeoff from LA, lands in Denver safely",0.5719,2024-07-08 15:33:26.111995
"Hurricane Beryl tracker: Storm makes landfall in Texas, see spaghetti models, path",0.0,2024-07-08 15:33:26.127011
Cooper Flagg wows during scrimmage against USA Olympic Team,0.4588,2024-07-08 15:33:26.127011
Bradley to captain USA at 2025 Ryder Cup,0.0,2024-07-08 15:33:26.127011
Jennifer Lopez shares 2021 breakup song amid Ben Affleck divorce rumors,0.296,2024-07-08 15:33:26.127011
David Byrne: Why radio should pay singers like Beyoncé and Willie Nelson,0.2732,2024-07-08 15:33:26.127011
Chinese risk perilous journey in search of ‘freedom’ in the United States,0.1779,2024-07-08 15:33:26.127011
Man dies of 'massive head trauma' after lighting firework off Uncle Sam top hat on July 4th,-0.25,2024-07-08 15:33:26.127011
Potential 2025 No. 1 Draft pick Cooper Flagg steals the show among Team USA stars,-0.6705,2024-07-08 15:33:26.127011
Keegan Bradley Named Team USA Captain for 2025 Ryder Cup After Tiger Woods Rumors,0.0,2024-07-08 15:33:26.127011
Biden to Democrats in Congress: 'I am firmly committed to staying in this race',0.2732,2024-07-08 15:33:26.127011
"Charasika scores four in USA win as Chile, Argentina enjoy Day 4 wins",0.8934,2024-07-08 15:33:26.127011
"Over 2,000 pounds of Al-Safa frozen chicken products recalled for listeria risk",-0.2732,2024-07-08 15:33:26.138571
Track tornado warnings across Texas as Hurricane Beryl remnants spawn severe weather,-0.5859,2024-07-08 15:33:26.143949
Jrue Holiday says Celtics title sparked ‘competitive’ discussion with Team USA teammates,0.4019,2024-07-08 15:33:26.143949
"2024 Paris Olympics men's basketball power rankings: Team USA in own class, but who is biggest competition?",0.0,2024-07-08 15:33:26.143949
Projected USA Four Nations Roster Filled With Surprises,0.2263,2024-07-08 15:33:26.143949
When is Team USA's first game? How to watch the latest Dream Team this summer,0.25,2024-07-08 15:33:26.143949
Is Anthony Edwards Team USA's Top Scorer? Power Ranking Potential No. 1 Options,-0.1027,2024-07-08 15:33:26.158964
Report: Tiger Woods Declined Offer to Be Team USA Captain for 2025 Ryder Cup,0.0,2024-07-08 15:33:26.158964
"Duke's Cooper Flagg shines vs Team USA basketball, goes viral on social media",0.0,2024-07-08 15:33:26.158964
Beryl kills at least 4 in Texas as more than 2M remain without power: Live updates,-0.5423,2024-07-08 15:33:26.158964
Here's the US women's basketball team's full exhibition and Olympic schedule,0.0,2024-07-08 15:33:26.158964
Select team straw poll: LeBron voted Team USA's best in camp,0.6369,2024-07-09 15:32:24.495708
Gary Astalos Named Head Coach of Team USA Men's Ice Hockey for 2025 World University Games,0.0,2024-07-09 15:32:24.512530
'Bob's Burgers' actor Jay Johnston pleads guilty in Capitol riot case,-0.7506,2024-07-09 15:32:24.512886
"Spain vs. France: What to know, how to watch UEFA Euro 2024 semifinal",0.0,2024-07-09 15:32:24.529607
Delta brings the epic journeys of Team USA to life in new campaign for Paris 2024,0.0,2024-07-09 15:32:24.529607
Why Canada has a unique advantage over the USA and everyone else in the Olympics,0.25,2024-07-09 15:32:24.529607
Bruce Springsteen’s ‘Born In The U.S.A.’ Is A Top 10 Smash In America Again,0.2023,2024-07-09 15:32:24.529607
"Argentina vs. Canada | Jul 9, 2024 | Copa America USA 2024 | TSN Canada",0.0,2024-07-09 15:32:24.545886
2024 Copa America: How to watch Uruguay battle Colombia in the semifinal,-0.3818,2024-07-09 15:32:24.546891
How to get a dozen Krispy Kreme doughnuts for 87 cents,0.0,2024-07-09 15:32:24.546891
‘Love Island USA’ Fans Find Screenshots of Daia’s Alleged Interest in Odell Beckham Jr.,0.4588,2024-07-09 15:32:24.548244
JetBlue promo offers 25% off most flights this fall. Here's what to know.,0.0,2024-07-09 15:32:24.548244
"Are tampons safe or harmful? Study finds that tampons contain arsenic, lead, other metals",0.4404,2024-07-09 15:32:24.549450
"How to watch Euro 2024 in USA: Live streams, TV channels, full schedule & more",0.0,2024-07-09 15:32:24.549450
"At USA Basketball camp, teenage prodigy Cooper Flagg steals the show",-0.5106,2024-07-09 15:32:24.549450
"TIFF announces five more World Premieres from Canada, France, India, UK, and USA",0.0,2024-07-09 15:33:26.079706
Every NBA player expected to compete in Paris Olympics,0.0,2024-07-09 15:33:26.096237
It is way too hot. 160 million under alert as heat breaks records and a bridge,0.296,2024-07-09 15:33:26.096237
Canada's Dillon Brooks opens up on Team USA before pre-Olympics exhibition: 'We want the gold',0.0772,2024-07-09 15:33:26.096237
US track and field Olympic team announced. See the full roster,0.0,2024-07-09 15:33:26.096237
Dillon Brooks: ‘Canada will be ready to play’ vs. Team USA,0.3612,2024-07-09 15:33:26.096237
Canada's Dillon Brooks Had Strong Reminder for Team USA Ahead of Olympic Matchup,0.5106,2024-07-09 15:33:26.096237
Democrats brace for 'raucous' meetings on Joe Biden's future in the 2024 campaign,0.0,2024-07-09 15:33:26.111995
USA Today transformed the media world for good. What’s its legacy now?,0.4404,2024-07-09 15:33:26.111995
Assemble a men's basketball Olympic team that can win gold,0.5859,2024-07-09 15:33:26.111995
Can Kamala Harris beat Trump? New poll puts her ahead of Joe Biden,0.0,2024-07-09 15:33:26.111995
Beyoncé Cécred scholarship winner says she 'was shocked' to receive grant,0.6124,2024-07-09 15:33:26.111995
McDonald's brings back Smoky BLT Quarter Pounder with Cheese: See when you can get it,0.0,2024-07-09 15:33:26.127011
Predicting Team USA's starting five for the 2024 Olympics,0.0,2024-07-09 15:33:26.127011
"LeBron James, Cooper Flagg Headline Team USA Voting Polls at Olympic Training Camp",0.0,2024-07-09 15:33:26.127011
"Off the Grid: Sally breaks down USA TODAY's daily crossword puzzle, See Double",0.0,2024-07-09 15:33:26.127011
USA judoka Jack Yonezuka to fulfill Olympic family legacy at Paris 2024,0.4404,2024-07-09 15:33:26.138571
USA Track & Field announces roster of 120 for Paris Olympic Games,0.0,2024-07-09 15:33:26.138571
City to return to training ahead of USA pre-season tour,0.0,2024-07-09 15:33:26.143949
Person in Colorado infected with bubonic plague. Here's what to know.,-0.4939,2024-07-09 15:33:26.143949
"Joe Bonsall, Oak Ridge Boys singer, dies at 76 from ALS complications",0.0,2024-07-09 15:33:26.143949
"Great First Impressions: Ullmark Tours New NHL Home in Ottawa, Stands 10th in New Fan Poll",0.8074,2024-07-09 15:33:26.143949
LeBron James’s Dominance on Team USA Perfectly Explained by Amen Thompson,0.7184,2024-07-09 15:33:26.143949
Can Steve Kerr Make a Star-Studded Team USA Work Like a Dream?,0.5423,2024-07-09 15:33:26.143949
"Lakers' LeBron James Voted Best Player by Teammates, Coaches at USA's Olympic Camp",0.6369,2024-07-09 15:33:26.143949
Q-and-A: Gov. Gretchen Whitmer's candid conversation with USA TODAY,0.0,2024-07-09 15:33:26.143949
"Climbers in Malibu find abandoned German Shepherd with zip ties around mouth, neck",-0.4588,2024-07-09 15:33:26.143949
Who is Cole Campbell?,0.0,2024-07-09 15:33:26.143949
McDonald's unveils new Kit Kat Banana Split McFlurry: Here's when you can get it,0.0,2024-07-09 15:33:26.143949
"How did NiJaree Canady, USA Softball Women's Elite Team fare at Japan All-Star Series?",0.0,2024-07-09 15:33:26.158964
Beryl produced so many tornado warnings it broke a record,-0.6444,2024-07-09 16:32:24.512886
Devils Q&A: Curtis Lazar Talks About Life in New Jersey,-0.5719,2024-07-09 16:32:24.529607
'Out of the norm': Experts urge caution after deadly heat wave scorches West Coast,0.0,2024-07-09 16:33:26.096237
Here's why NBA and WNBA stars wear different jersey numbers for Team USA,0.0,2024-07-09 17:32:24.529607
Harris drops by Team USA basketball training camp: ‘Bring back that gold’,0.0,2024-07-09 17:32:24.546891
Austal USA Breaks Ground on New Steel Assembly Facility,0.0,2024-07-09 17:32:24.548244
"Kevin Durant injury will keep him sidelined for Team USA vs. Canada, but star hopes to play next week",0.7096,2024-07-09 17:33:26.096237
Team USA Announces Track & Field Roster For Paris Olympics,0.0,2024-07-09 17:33:26.096237
How To Watch ‘Love Island USA’ Season 6 Movie Night: Where Is It Livestreaming?,0.0,2024-07-09 17:33:26.111995
"Where to watch Copa America 2024: TV channels, live streams, full schedule & more",0.0,2024-07-09 18:32:24.549450
Durant (calf) out for USA's friendly vs. Canada,0.4939,2024-07-09 18:33:26.079706
Kevin Durant will not participate in USA-Canada exhibition game,0.0,2024-07-09 18:33:26.111995
Steve Kerr: 'I Love' That Anthony Edwards Views Himself as Team USA's 'No. 1 Option',0.6369,2024-07-09 18:33:26.143132
"Iran is targeting Americans amid Gaza war protests, US intelligence chief warns",-0.4767,2024-07-09 18:33:26.158964
NHL Tonight: 4 Seasons Team USA,0.0,2024-07-09 19:32:24.479639
Kevin Durant to miss Team USA exhibition vs. Canada due to calf strain: 'He said he's feeling pretty good',0.7003,2024-07-09 19:33:26.096237
USA Takes On Canada in Las Vegas to Kick of the USA Basketball Showcase,0.0,2024-07-09 19:33:26.096237
"Notes from Team USA training camp: Kawhi Leonard to play vs. Canada, Kevin Durant is out.",0.34,2024-07-09 19:33:26.138571
"We asked, you answered: Here are America's favorite french fries",0.4588,2024-07-09 20:32:24.495708
Tiger Woods Not Ruling Out Future USA Ryder Cup Captaincy After Rejecting 2025 Offer,-0.4588,2024-07-09 20:32:24.512886
Spain's Álvaro Morata faces Euro 2024 fitness worry after postgame incident,-0.2023,2024-07-09 20:32:24.512886
Bam Adebayo on Team USA: ‘You have so much talent…you gotta find your niche’,0.0,2024-07-09 20:32:24.546891
"Kawhi Leonard, Joel Embiid brush aside injury concerns, all-in for 2024 Olympics",-0.4215,2024-07-09 20:33:26.079706
Kevin Durant will miss Team USA's exhibition vs. Canada with calf strain,-0.2023,2024-07-09 21:32:24.479639
Austal USA Breaks Ground on New Steel-Hull Assembly Hall,0.0,2024-07-09 21:32:24.495708
Mizzou Hall of Famer J’den Cox named USA Wrestling Freestyle Development Coach,0.1779,2024-07-09 21:32:24.495708
"'Shrek 5' is coming from DreamWorks for 2026 with Mike Myers, Cameron Diaz, original cast",0.3182,2024-07-09 21:32:24.529607
"Vice President Kamala Harris stops by Team USA practice, says ‘Bring back the gold’",-0.1531,2024-07-09 21:33:26.096237
"Lionel Messi scores goal, Argentina tops Canada to reach Copa America final",0.5267,2024-07-09 21:33:26.096237
Ryder Cup 2025: Keegan Bradley says Team USA captaincy came 'out of the blue' after Tiger Woods rejected role,-0.5106,2024-07-09 21:33:26.111995
"Millions without power as Beryl, tornadoes threaten central US; 8 dead: Live updates",-0.7845,2024-07-09 21:33:26.111995
"Haliburton, Team USA begin showcase play against Nembhard, Team Canada",0.34,2024-07-09 22:32:24.512886
Team USA Without All-Time Leading Scorer vs. Canada,0.0,2024-07-09 22:32:24.529607
Is Kevin Durant out of the Olympics for Team USA?,0.0,2024-07-09 22:32:24.529607
"Donald Trump challenges Joe Biden to another debate, attacks immigrants: 4 takeaways from Miami rally",-0.3818,2024-07-09 22:32:24.545886
Feds shut down Russian AI 'bot farm' that spread disinformation for Putin,0.0,2024-07-09 22:33:26.127011
Dillon Brooks Is Back to Poking Bears Ahead of Team USA v Canada,0.0,2024-07-09 23:32:24.528123
Wednesday’s Headlines Raise the Roof,0.0,2024-07-09 23:33:26.096237
"Albertsons, Kroger release list of stores to be sold in merger. See the full list",0.0,2024-07-09 23:33:26.138571
"As USA soccer and Mexico failed, Canada's Copa America blueprint gives Jesse Marsch's side optimism and belief",0.0516,2024-07-10 00:32:24.479639
Why is Joel Embiid on Team USA? Explaining 76ers star's eligibility for U.S. men's team roster in Paris Olympics,0.0,2024-07-10 00:32:24.495708
Kamala Harris visits Team USA Basketball camp ahead of Paris Olympics,0.0,2024-07-10 00:32:24.529607
"Off the Grid: Sally breaks down USA TODAY's daily crossword puzzle, Split Peas",0.0,2024-07-10 00:32:24.549450
USA Women Lose To Hungary 10-8 In Final Home Game Before Olympics,-0.4019,2024-07-10 00:33:26.138571
World AI Conference: USA and China agree humanity must come first,0.3612,2024-07-10 00:33:26.143949
Lionel Messi Is Not Finished Yet,0.0,2024-07-10 00:33:26.143949
"Semifinal stage set as Uruguay to face Argentina, Chile to play USA",0.34,2024-07-10 01:32:24.479639
"""JUSTICE FOR LEAH"" — Love Island USA season 6 fans react to Leah getting grilled during Movie Night",0.8531,2024-07-10 01:32:24.529607
"Men’s Semifinal set-up will repeat Day 5 as Argentina play USA, Canada host Chile",0.34,2024-07-10 01:33:26.079706
Who should start for Team USA? LeBron or Curry off the bench?,0.0,2024-07-10 01:33:26.096237
"Team USA Basketball: 2024 Paris Olympics roster, schedule, news",0.0,2024-07-10 01:33:26.111995
American mountaineer William Stampfl found mummified 22 years after he vanished in Peru,0.0,2024-07-10 01:33:26.111995
USA Archery announces Para Athletes' Advisory Council and Athletes' Advisory Council election results,0.0,2024-07-10 02:32:24.495708
"Team USA, Celtics' Jayson Tatum Honors Kobe Bryant With Memorial Post That's Going Viral",0.5106,2024-07-10 02:32:24.529607
Kevin Durant to miss Team USA exhibition vs. Canada with calf strain - The Athletic,-0.2023,2024-07-10 02:33:26.095722
